stage,test_year,n_test,accuracy,ret_weighted,avg_long_return,strategy_cum_ret,bah_cum_ret,n_long_signals
Baseline,2023,48,0.6042,0.756,0.0157,0.8921,0.8921,48
Base,2023,48,0.6667,0.6157,0.0208,0.822,0.8921,33
Stage1,2023,48,0.5417,0.0032,0.0152,0.3584,0.8921,25
Stage2,2023,48,0.5625,-0.1789,0.0131,0.25,0.8921,22
Baseline,2024,48,0.5833,1.1014,0.0229,1.6831,1.6831,48
Base,2024,48,0.6458,0.4973,0.0348,1.1068,1.6831,23
Stage1,2024,48,0.5,-0.7921,0.0155,0.14,1.6831,10
Stage2,2024,48,0.5,-0.1366,0.0301,0.5552,1.6831,16
Baseline,2025,48,0.5208,-0.0216,-0.0005,-0.1017,-0.1017,48
Base,2025,48,0.4375,-0.5717,-0.0082,-0.3019,-0.1017,36
Stage1,2025,48,0.5,0.238,0.0028,0.039,-0.1017,39
Stage2,2025,48,0.5,0.1248,0.0013,-0.0228,-0.1017,41
